Peak ID	Chromosome	Peak start†	Peak end†	Gene name	RefSeq transcript ID	Distance to TSS	Distance to TES
10611	chr5	52774380	52779599	FST	NM_006350	726	-5314
10611	chr5	52774380	52779599	FST	NM_013409	726	-5314
29727	chr17	16188130	16191949	MIR1288	NR_031698	4712	4638
18294	chr9	113341100	113343129	SVEP1	NM_153366	45	-214586
9926	chr4	148401030	148405129	EDNRA	NM_001166055	1011	-63026
9926	chr4	148401030	148405129	EDNRA	NM_001957	1011	-63026
9926	chr4	148401030	148405129	EDNRA	NM_001256283	1011	-63026
9926	chr4	148401030	148405129	EDNRA	NR_045958	1011	-63026
34715	chr21	36256180	36261749	RUNX1	NM_001001890	2022	-98867
34715	chr21	36256180	36261749	RUNX1	NM_001122607	2022	-65391
7679	chr3	99355480	99361399	COL8A1	NM_001850	1000	-157137
7679	chr3	99355480	99361399	COL8A1	NM_020351	1000	-157137
9682	chr4	114898700	114901699	ARSJ	NM_024590	678	-78760
1688	chr1	87594550	87599599	LINC01140	NR_026988	1627	-5277
1688	chr1	87594550	87599599	LINC01140	NR_026989	1627	-37811
1688	chr1	87594550	87599599	LINC01140	NR_026987	-534	-5277
1688	chr1	87594550	87599599	LINC01140	NR_026986	-534	-5277
1688	chr1	87594550	87599599	LINC01140	NR_026985	-534	-5277
31924	chr18	65183480	65186129	DSEL	NM_032160	-838	-10986
31924	chr18	65183480	65186129	LOC643542	NR_033921	1022	-382051
10858	chr5	76010400	76015449	NCRUPAR	NR_028375	4697	4212
10858	chr5	76010400	76015449	F2R	NM_001992	1057	-18670
4238	chr2	38299030	38302099	CYP1B1	NM_000104	2758	-5819
5656	chr2	175497100	175500379	WIPF1	NM_003387	567	-74438
12904	chr6	35629730	35631829	MIR5690	NR_049873	1786	1714
30738	chr17	62403900	62407599	PECAM1	NM_000442	1333	-8973
18257	chr9	112541880	112545699	PALM2	NM_053016	1213	-169966
18257	chr9	112541880	112545699	PALM2-AKAP2	NM_147150	1213	-391001
18257	chr9	112541880	112545699	PALM2-AKAP2	NM_007203	1213	-391001
12563	chr6	25279050	25281649	LRRC16A	NM_001173977	694	-340408
12563	chr6	25279050	25281649	LRRC16A	NM_017640	694	-340408
24128	chr12	108730630	108733129	CMKLR1	NM_004072	1214	-50059
24128	chr12	108730630	108733129	CMKLR1	NM_001142344	1214	-50059
24128	chr12	108730630	108733129	CMKLR1	NM_001142343	1214	-50059
31728	chr18	46447830	46485279	SMAD7	NM_001190823	2622	-20332
28724	chr16	55508150	55511249	MMP2	NM_001302508	-3042	-30903
28724	chr16	55508150	55511249	MMP2	NM_004530	-3381	-30903
28724	chr16	55508150	55511249	MMP2	NM_001302510	-4210	-30903
28724	chr16	55508150	55511249	MMP2	NM_001302509	-4745	-30903
1670	chr1	85928750	85932249	DDAH1	NM_012137	389	-146332
16990	chr8	116677100	116682699	TRPS1	NM_001282902	339	-259176
16990	chr8	116677100	116682699	TRPS1	NM_001282903	1355	-259176
16990	chr8	116677100	116682699	TRPS1	NM_014112	1355	-259176
7470	chr3	64205650	64212849	PRICKLE2	NM_198859	1881	-129724
16679	chr8	70403850	70407399	SULF1	NM_001128206	597	-167522
16679	chr8	70403850	70407399	SULF1	NM_001128205	597	-167522
26281	chr14	85994900	85997029	FLRT2	NM_013231	-523	-98305
9480	chr4	86645650	86648899	MIR4451	NR_039656	3654	3589
11997	chr5	172442450	172446299	SNORA74B	NR_002988	-3354	-3557
29037	chr16	73075550	73094829	ZFHX3	NM_006885	-2916	-268404
7741	chr3	105087030	105089199	ALCAM	NM_001243283	2558	-156115
7741	chr3	105087030	105089199	ALCAM	NM_001243281	2558	-183899
