Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID	Ensembl Transcript ID
13	23993110	24002818	SACS-AS1	SACS antisense RNA 1 [Source:HGNC Symbol;Acc:39835]	lincRNA	ENSG00000229558	ENST00000443092
13	30890497	30894040	LINC00427	long intergenic non-protein coding RNA 427 [Source:HGNC Symbol;Acc:42762]	lincRNA	ENSG00000236463	ENST00000412722
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000592950
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000585870
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000588726
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000590344
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000593246
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000590721
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000451495
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000586973
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000586464
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000588425
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000585582
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000411835
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000589840
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000429200
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000587596
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000591131
13	31456070	31507983	TEX26-AS1	TEX26 antisense RNA 1 [Source:HGNC Symbol;Acc:42784]	antisense	ENSG00000224743	ENST00000591300
13	110750200	110750498	RN7SL783P	RNA, 7SL, cytoplasmic 783, pseudogene [Source:HGNC Symbol;Acc:46799]	misc_RNA	ENSG00000265885	ENST00000577950
13	41025131	41055143	LINC00598	long intergenic non-protein coding RNA 598 [Source:HGNC Symbol;Acc:42770]	lincRNA	ENSG00000215483	ENST00000400430
13	41025131	41055143	LINC00598	long intergenic non-protein coding RNA 598 [Source:HGNC Symbol;Acc:42770]	lincRNA	ENSG00000215483	ENST00000400431
13	41025131	41055143	LINC00598	long intergenic non-protein coding RNA 598 [Source:HGNC Symbol;Acc:42770]	lincRNA	ENSG00000215483	ENST00000542632
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	processed_transcript	ENSG00000168675	ENST00000590371
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000587905
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	retained_intron	ENSG00000168675	ENST00000590115
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000399848
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000359446
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000586222
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000593236
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	processed_transcript	ENSG00000168675	ENST00000587600
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	processed_transcript	ENSG00000168675	ENST00000586207
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	processed_transcript	ENSG00000168675	ENST00000587440
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	processed_transcript	ENSG00000168675	ENST00000592657
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000587757
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000585931
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	processed_transcript	ENSG00000168675	ENST00000590308
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000586765
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	processed_transcript	ENSG00000168675	ENST00000592812
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	retained_intron	ENSG00000168675	ENST00000361303
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	retained_intron	ENSG00000168675	ENST00000435606
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000592991
18	13217497	13652754	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	protein_coding	ENSG00000168675	ENST00000361205
13	49144775	49147453	LINC01077	long intergenic non-protein coding RNA 1077 [Source:HGNC Symbol;Acc:49120]	lincRNA	ENSG00000233456	ENST00000452288
18	46352422	46361141	RP11-484L8.1		antisense	ENSG00000267764	ENST00000590649
21	33869122	33869621	EXOSC3P1	exosome component 3 pseudogene 1 [Source:HGNC Symbol;Acc:33989]	processed_pseudogene	ENSG00000229007	ENST00000448649
9	97586554	97587055	RP11-49O14.3		sense_intronic	ENSG00000230815	ENST00000437846
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	protein_coding	ENSG00000107104	ENST00000382303
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	processed_transcript	ENSG00000107104	ENST00000467541
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	processed_transcript	ENSG00000107104	ENST00000475690
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	processed_transcript	ENSG00000107104	ENST00000489369
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	retained_intron	ENSG00000107104	ENST00000354485
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	protein_coding	ENSG00000107104	ENST00000382297
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	protein_coding	ENSG00000107104	ENST00000382293
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	protein_coding	ENSG00000107104	ENST00000382289
9	470291	746105	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]	protein_coding	ENSG00000107104	ENST00000382286
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	protein_coding	ENSG00000134030	ENST00000256413
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	protein_coding	ENSG00000134030	ENST00000382998
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	protein_coding	ENSG00000134030	ENST00000591412
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	protein_coding	ENSG00000134030	ENST00000591387
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	protein_coding	ENSG00000134030	ENST00000587752
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	protein_coding	ENSG00000134030	ENST00000588345
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	processed_transcript	ENSG00000134030	ENST00000589585
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	processed_transcript	ENSG00000134030	ENST00000587769
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	retained_intron	ENSG00000134030	ENST00000587860
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	processed_transcript	ENSG00000134030	ENST00000592658
18	46065417	46389588	CTIF	CBP80/20-dependent translation initiation factor [Source:HGNC Symbol;Acc:23925]	processed_transcript	ENSG00000134030	ENST00000590422
20	39959763	39960300	RP3-450M14.1		processed_pseudogene	ENSG00000235102	ENST00000438914
13	21276266	21297237	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:5984]	processed_transcript	ENSG00000172458	ENST00000498088
13	21276266	21297237	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:5984]	protein_coding	ENSG00000172458	ENST00000304920
13	21276266	21297237	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:5984]	processed_transcript	ENSG00000172458	ENST00000468605
4	100010008	100222513	RP11-696N14.1		antisense	ENSG00000246090	ENST00000500358
4	100010008	100222513	RP11-696N14.1		antisense	ENSG00000246090	ENST00000499178
4	100010008	100222513	RP11-696N14.1		antisense	ENSG00000246090	ENST00000506160
4	100010008	100222513	RP11-696N14.1		antisense	ENSG00000246090	ENST00000506454
4	100010008	100222513	RP11-696N14.1		antisense	ENSG00000246090	ENST00000509295
4	100010008	100222513	RP11-696N14.1		antisense	ENSG00000246090	ENST00000510764
4	100010008	100222513	RP11-696N14.1		antisense	ENSG00000246090	ENST00000509939
8	29384829	29387840	RP11-486M23.1		lincRNA	ENSG00000253632	ENST00000521101
13	23902965	24007841	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin) [Source:HGNC Symbol;Acc:10519]	protein_coding	ENSG00000151835	ENST00000402364
13	23902965	24007841	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin) [Source:HGNC Symbol;Acc:10519]	protein_coding	ENSG00000151835	ENST00000382292
13	23902965	24007841	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin) [Source:HGNC Symbol;Acc:10519]	protein_coding	ENSG00000151835	ENST00000455470
13	23902965	24007841	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin) [Source:HGNC Symbol;Acc:10519]	protein_coding	ENSG00000151835	ENST00000423156
13	23902965	24007841	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin) [Source:HGNC Symbol;Acc:10519]	processed_transcript	ENSG00000151835	ENST00000476776
13	23902965	24007841	SACS	spastic ataxia of Charlevoix-Saguenay (sacsin) [Source:HGNC Symbol;Acc:10519]	protein_coding	ENSG00000151835	ENST00000382298
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	protein_coding	ENSG00000134508	ENST00000400473
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	nonsense_mediated_decay	ENSG00000134508	ENST00000579963
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	protein_coding	ENSG00000134508	ENST00000580153
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	protein_coding	ENSG00000134508	ENST00000256925
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	protein_coding	ENSG00000134508	ENST00000582882
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	processed_transcript	ENSG00000134508	ENST00000583220
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	processed_transcript	ENSG00000134508	ENST00000580644
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	retained_intron	ENSG00000134508	ENST00000578052
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	processed_transcript	ENSG00000134508	ENST00000585061
18	20714528	20840431	CABLES1	Cdk5 and Abl enzyme substrate 1 [Source:HGNC Symbol;Acc:25097]	protein_coding	ENSG00000134508	ENST00000420687
13	24304328	24463558	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:7104]	processed_transcript	ENSG00000027001	ENST00000464194
13	24304328	24463558	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:7104]	protein_coding	ENSG00000027001	ENST00000433710
13	24304328	24463558	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:7104]	protein_coding	ENSG00000027001	ENST00000382172
13	24304328	24463558	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:7104]	processed_transcript	ENSG00000027001	ENST00000494139
13	24304328	24463558	MIPEP	mitochondrial intermediate peptidase [Source:HGNC Symbol;Acc:7104]	processed_transcript	ENSG00000027001	ENST00000469167
8	99383583	99400475	KB-1458E12.1		lincRNA	ENSG00000254267	ENST00000518704
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	processed_transcript	ENSG00000134490	ENST00000584625
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000581444
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	processed_transcript	ENSG00000134490	ENST00000578790
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	processed_transcript	ENSG00000134490	ENST00000475185
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	protein_coding	ENSG00000134490	ENST00000383233
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000477053
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000473688
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	retained_intron	ENSG00000134490	ENST00000583048
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	processed_transcript	ENSG00000134490	ENST00000577448
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000460322
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	protein_coding	ENSG00000134490	ENST00000578520
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000482411
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000497608
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000577531
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	protein_coding	ENSG00000134490	ENST00000582336
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	nonsense_mediated_decay	ENSG00000134490	ENST00000580025
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	protein_coding	ENSG00000134490	ENST00000450466
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	protein_coding	ENSG00000134490	ENST00000542162
18	20777108	21017925	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:31723]	protein_coding	ENSG00000134490	ENST00000399707
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	retained_intron	ENSG00000166979	ENST00000469079
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	processed_transcript	ENSG00000166979	ENST00000459833
21	33784314	33887707	EVA1C	eva-1 homolog C (C. elegans) [Source:HGNC Symbol;Acc:13239]	protein_coding	ENSG00000166979	ENST00000300255
