Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID
7	95212811	95225803	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]	protein_coding	ENSG00000004799
17	48172101	48189516	PDK2	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]	protein_coding	ENSG00000005882
17	48620419	48633213	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	ENSG00000006282
16	108058	126354	RHBDF1	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]	protein_coding	ENSG00000007384
3	48636435	48648409	UQCRC1	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:12585]	protein_coding	ENSG00000010256
3	52444673	52457657	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:18458]	protein_coding	ENSG00000010318
3	52489134	52527087	NISCH	nischarin [Source:HGNC Symbol;Acc:18006]	protein_coding	ENSG00000010322
3	52529354	52558511	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:18628]	protein_coding	ENSG00000010327
19	50310126	50320633	FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:26219]	protein_coding	ENSG00000010361
11	61282785	61348620	SYT7	synaptotagmin VII [Source:HGNC Symbol;Acc:11514]	protein_coding	ENSG00000011347
19	45910591	45982086	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) [Source:HGNC Symbol;Acc:3433]	protein_coding	ENSG00000012061
3	46477136	46526724	LTF	lactotransferrin [Source:HGNC Symbol;Acc:6720]	protein_coding	ENSG00000012223
11	47269851	47290396	NR1H3	nuclear receptor subfamily 1, group H, member 3 [Source:HGNC Symbol;Acc:7966]	protein_coding	ENSG00000025434
8	41510739	41754280	ANK1	ankyrin 1, erythrocytic [Source:HGNC Symbol;Acc:492]	protein_coding	ENSG00000029534
6	33540329	33548019	BAK1	BCL2-antagonist/killer 1 [Source:HGNC Symbol;Acc:949]	protein_coding	ENSG00000030110
17	76849059	76921469	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:11821]	protein_coding	ENSG00000035862
16	67552321	67580691	FAM65A	family with sequence similarity 65, member A [Source:HGNC Symbol;Acc:25836]	protein_coding	ENSG00000039523
17	48609904	48621111	EPN3	epsin 3 [Source:HGNC Symbol;Acc:18235]	protein_coding	ENSG00000049283
11	2465914	2870339	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1 [Source:HGNC Symbol;Acc:6294]	protein_coding	ENSG00000053918
19	49122548	49133974	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:18859]	protein_coding	ENSG00000063176
16	1845621	1877195	HAGH	hydroxyacylglutathione hydrolase [Source:HGNC Symbol;Acc:4805]	protein_coding	ENSG00000063854
3	123328896	123603178	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:7590]	protein_coding	ENSG00000065534
19	2997636	3047633	TLE2	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila) [Source:HGNC Symbol;Acc:11838]	protein_coding	ENSG00000065717
19	10527449	10580305	PDE4A	phosphodiesterase 4A, cAMP-specific [Source:HGNC Symbol;Acc:8780]	protein_coding	ENSG00000065989
11	64494383	64512928	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated) [Source:HGNC Symbol;Acc:9879]	protein_coding	ENSG00000068831
11	64685025	64701945	PPP2R5B	protein phosphatase 2, regulatory subunit B', beta [Source:HGNC Symbol;Acc:9310]	protein_coding	ENSG00000068971
11	64513861	64527769	PYGM	phosphorylase, glycogen, muscle [Source:HGNC Symbol;Acc:9726]	protein_coding	ENSG00000068976
5	65892176	66465423	MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:19037]	protein_coding	ENSG00000069020
19	14202500	14228896	PRKACA	protein kinase, cAMP-dependent, catalytic, alpha [Source:HGNC Symbol;Acc:9380]	protein_coding	ENSG00000072062
2	128395956	128439360	LIMS2	LIM and senescent cell antigen-like domains 2 [Source:HGNC Symbol;Acc:16084]	protein_coding	ENSG00000072163
19	49843852	49865714	TEAD2	TEA domain family member 2 [Source:HGNC Symbol;Acc:11715]	protein_coding	ENSG00000074219
5	175969512	176022975	CDHR2	cadherin-related family member 2 [Source:HGNC Symbol;Acc:18231]	protein_coding	ENSG00000074276
22	46971909	47075688	GRAMD4	GRAM domain containing 4 [Source:HGNC Symbol;Acc:29113]	protein_coding	ENSG00000075240
11	119179241	119192231	MCAM	melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:6934]	protein_coding	ENSG00000076706
12	48128455	48164823	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3 [Source:HGNC Symbol;Acc:16629]	protein_coding	ENSG00000079337
19	42905659	42931578	LIPE	lipase, hormone-sensitive [Source:HGNC Symbol;Acc:6621]	protein_coding	ENSG00000079435
3	122628041	122747452	SEMA5B	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B [Source:HGNC Symbol;Acc:10737]	protein_coding	ENSG00000082684
19	58985384	58992597	ZNF446	zinc finger protein 446 [Source:HGNC Symbol;Acc:21036]	protein_coding	ENSG00000083838
19	58790317	58807254	ZNF8	Zinc finger protein 8  [Source:UniProtKB/Swiss-Prot;Acc:P17098]	protein_coding	ENSG00000083842
2	26413504	26467594	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit [Source:HGNC Symbol;Acc:4801]	protein_coding	ENSG00000084754
16	3179778	3192806	ZNF213	zinc finger protein 213 [Source:HGNC Symbol;Acc:13005]	protein_coding	ENSG00000085644
19	49316274	49339935	HSD17B14	hydroxysteroid (17-beta) dehydrogenase 14 [Source:HGNC Symbol;Acc:23238]	protein_coding	ENSG00000087076
17	42269173	42277481	ATXN7L3	ataxin 7-like 3 [Source:HGNC Symbol;Acc:25416]	protein_coding	ENSG00000087152
16	56995762	57017757	CETP	cholesteryl ester transfer protein, plasma [Source:HGNC Symbol;Acc:1869]	protein_coding	ENSG00000087237
4	2794750	2842825	SH3BP2	SH3-domain binding protein 2 [Source:HGNC Symbol;Acc:10825]	protein_coding	ENSG00000087266
12	27932953	27955973	KLHL42	kelch-like family member 42 [Source:HGNC Symbol;Acc:29252]	protein_coding	ENSG00000087448
1	23755056	23811061	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:14987]	protein_coding	ENSG00000088280
12	117476728	117537284	TESC	tescalcin [Source:HGNC Symbol;Acc:26065]	protein_coding	ENSG00000088992
3	51991470	52002426	PCBP4	poly(rC) binding protein 4 [Source:HGNC Symbol;Acc:8652]	protein_coding	ENSG00000090097
12	123468027	123634562	PITPNM2	phosphatidylinositol transfer protein, membrane-associated 2 [Source:HGNC Symbol;Acc:21044]	protein_coding	ENSG00000090975
17	4862521	4871167	SPAG7	sperm associated antigen 7 [Source:HGNC Symbol;Acc:11216]	protein_coding	ENSG00000091640
14	23881947	23904927	MYH7	myosin, heavy chain 7, cardiac muscle, beta [Source:HGNC Symbol;Acc:7577]	protein_coding	ENSG00000092054
14	24615892	24629870	RNF31	ring finger protein 31 [Source:HGNC Symbol;Acc:16031]	protein_coding	ENSG00000092098
15	41849873	41871536	TYRO3	TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:12446]	protein_coding	ENSG00000092445
22	19466982	19508135	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:1739]	protein_coding	ENSG00000093009
5	170190354	170241051	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi [Source:HGNC Symbol;Acc:4089]	protein_coding	ENSG00000094755
9	130500596	130541020	SH2D3C	SH2 domain containing 3C [Source:HGNC Symbol;Acc:16884]	protein_coding	ENSG00000095370
