Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Transcript Biotype	Ensembl Gene ID
X	99883667	99894988	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:11858]	protein_coding	ENSG00000000003
X	99839799	99854882	TNMD	tenomodulin [Source:HGNC Symbol;Acc:17757]	protein_coding	ENSG00000000005
20	49551404	49575092	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit [Source:HGNC Symbol;Acc:3005]	protein_coding	ENSG00000000419
1	169818772	169863408	SCYL3	SCY1-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:19285]	protein_coding	ENSG00000000457
1	169631245	169823221	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:25565]	protein_coding	ENSG00000000460
1	27938575	27961788	FGR	feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697]	protein_coding	ENSG00000000938
1	196621008	196716634	CFH	complement factor H [Source:HGNC Symbol;Acc:4883]	protein_coding	ENSG00000000971
6	143815948	143832827	FUCA2	fucosidase, alpha-L- 2, plasma [Source:HGNC Symbol;Acc:4008]	protein_coding	ENSG00000001036
6	53362139	53481768	GCLC	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:4311]	protein_coding	ENSG00000001084
6	41040684	41067715	NFYA	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:7804]	protein_coding	ENSG00000001167
1	24683489	24743424	STPG1	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:28070]	protein_coding	ENSG00000001460
1	24742284	24799466	NIPAL3	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:25233]	protein_coding	ENSG00000001461
X	64732462	64754655	LAS1L	LAS1-like (S. cerevisiae) [Source:HGNC Symbol;Acc:25726]	protein_coding	ENSG00000001497
6	46097730	46114436	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:3359]	protein_coding	ENSG00000001561
3	50192478	50226508	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]	protein_coding	ENSG00000001617
7	117105838	117356025	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]	protein_coding	ENSG00000001626
7	91875548	92030698	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]	protein_coding	ENSG00000001629
7	91741465	91772266	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]	protein_coding	ENSG00000001630
7	91828283	91875480	KRIT1	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]	protein_coding	ENSG00000001631
12	1021243	1099219	RAD52	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]	protein_coding	ENSG00000002016
11	64037302	64052176	BAD	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]	protein_coding	ENSG00000002330
4	17578815	17609595	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]	protein_coding	ENSG00000002549
X	2609220	2659350	CD99	CD99 molecule [Source:HGNC Symbol;Acc:7082]	protein_coding	ENSG00000002586
4	11394774	11431389	HS3ST1	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]	protein_coding	ENSG00000002587
7	150521715	150558592	AOC1	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]	protein_coding	ENSG00000002726
7	120965421	120981158	WNT16	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]	protein_coding	ENSG00000002745
7	43152198	43605600	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]	protein_coding	ENSG00000002746
7	1855429	2272878	MAD1L1	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]	protein_coding	ENSG00000002822
17	37026112	37078023	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]	protein_coding	ENSG00000002834
17	46180719	46200436	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]	protein_coding	ENSG00000002919
7	150497491	150502208	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]	protein_coding	ENSG00000002933
12	9092959	9102551	M6PR	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]	protein_coding	ENSG00000003056
X	117031776	117251303	KLHL13	kelch-like family member 13 [Source:HGNC Symbol;Acc:22931]	protein_coding	ENSG00000003096
2	72356367	72375167	CYP26B1	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]	protein_coding	ENSG00000003137
7	8152814	8302317	ICA1	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]	protein_coding	ENSG00000003147
16	90071273	90086536	DBNDD1	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]	protein_coding	ENSG00000003249
2	202565277	202645912	ALS2	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]	protein_coding	ENSG00000003393
2	202047604	202094129	CASP10	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]	protein_coding	ENSG00000003400
2	201980827	202041410	CFLAR	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]	protein_coding	ENSG00000003402
2	188328957	188430487	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]	protein_coding	ENSG00000003436
2	37458774	37480546	NDUFAF7	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]	protein_coding	ENSG00000003509
3	50126341	50156454	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]	protein_coding	ENSG00000003756
8	17155539	17271037	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]	protein_coding	ENSG00000003987
8	17354597	17428082	SLC7A2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]	protein_coding	ENSG00000003989
7	127228399	127231759	ARF5	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]	protein_coding	ENSG00000004059
17	26691378	26728065	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]	protein_coding	ENSG00000004139
17	26673659	26684545	POLDIP2	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]	protein_coding	ENSG00000004142
3	129274018	129325661	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:9107]	protein_coding	ENSG00000004399
1	33473585	33546597	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]	protein_coding	ENSG00000004455
4	15779898	15854853	CD38	CD38 molecule [Source:HGNC Symbol;Acc:1667]	protein_coding	ENSG00000004468
12	2904119	2914576	FKBP4	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]	protein_coding	ENSG00000004478
1	23345941	23410182	KDM1A	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]	protein_coding	ENSG00000004487
3	49977440	50137478	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]	protein_coding	ENSG00000004534
17	3763609	3798185	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]	protein_coding	ENSG00000004660
12	21621845	21654603	RECQL	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]	protein_coding	ENSG00000004700
7	92861653	92988338	CCDC132	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]	protein_coding	ENSG00000004766
19	36245469	36248980	HSPB6	heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:26511]	protein_coding	ENSG00000004776
19	36265434	36279724	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]	protein_coding	ENSG00000004777
16	23592323	23607677	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]	protein_coding	ENSG00000004779
7	95212811	95225803	PDK4	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]	protein_coding	ENSG00000004799
6	110745890	110797844	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]	protein_coding	ENSG00000004809
3	50378541	50384283	ZMYND10	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]	protein_coding	ENSG00000004838
7	20654830	20816658	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]	protein_coding	ENSG00000004846
X	25021811	25034065	ARX	aristaless related homeobox [Source:HGNC Symbol;Acc:18060]	protein_coding	ENSG00000004848
7	95749532	95951459	SLC25A13	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]	protein_coding	ENSG00000004864
7	116593292	116870157	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]	protein_coding	ENSG00000004866
17	45195069	45266788	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:1728]	protein_coding	ENSG00000004897
17	42325753	42345509	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]	protein_coding	ENSG00000004939
7	93053799	93204042	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:1440]	protein_coding	ENSG00000004948
X	11129421	11141198	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:4837]	protein_coding	ENSG00000004961
17	7128660	7137864	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]	protein_coding	ENSG00000004975
16	2902728	2908171	PRSS22	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]	protein_coding	ENSG00000005001
19	18942747	18979045	UPF1	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]	protein_coding	ENSG00000005007
7	26706681	27034858	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]	protein_coding	ENSG00000005020
X	118602363	118605282	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]	protein_coding	ENSG00000005022
4	110481361	110609874	CCDC109B	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]	protein_coding	ENSG00000005059
7	27221129	27224842	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:5101]	protein_coding	ENSG00000005073
7	102113565	102119354	POLR2J	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]	protein_coding	ENSG00000005075
17	5344232	5372380	DHX33	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]	protein_coding	ENSG00000005100
17	41717756	41739322	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]	protein_coding	ENSG00000005102
7	11409984	11871824	THSD7A	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]	protein_coding	ENSG00000005108
17	33307513	33332083	LIG3	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]	protein_coding	ENSG00000005156
12	48057070	48099844	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]	protein_coding	ENSG00000005175
16	20621565	20808903	ACSM3	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]	protein_coding	ENSG00000005187
16	20817751	20860987	AC004381.6	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	protein_coding	ENSG00000005189
16	57462081	57481440	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]	protein_coding	ENSG00000005194
9	35104109	35116338	FAM214B	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]	protein_coding	ENSG00000005238
17	46103533	46115392	COPZ2	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]	protein_coding	ENSG00000005243
7	106685094	106802256	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]	protein_coding	ENSG00000005249
X	11776278	11793870	MSL3	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:7370]	protein_coding	ENSG00000005302
16	3775055	3930727	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:2348]	protein_coding	ENSG00000005339
17	56378592	56406152	BZRAP1	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]	protein_coding	ENSG00000005379
17	56347217	56358296	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:7218]	protein_coding	ENSG00000005381
7	94926988	95025673	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]	protein_coding	ENSG00000005421
2	75879126	75938115	GCFC2	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]	protein_coding	ENSG00000005436
2	74648805	74652882	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]	protein_coding	ENSG00000005448
7	86974997	87029111	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]	protein_coding	ENSG00000005469
7	87031013	87109751	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]	protein_coding	ENSG00000005471
7	104654626	104754808	KMT2E	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]	protein_coding	ENSG00000005483
7	75471920	75518244	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]	protein_coding	ENSG00000005486
16	1031808	1036979	SOX8	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]	protein_coding	ENSG00000005513
6	82879700	82957471	IBTK	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]	protein_coding	ENSG00000005700
11	3360491	3400448	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]	protein_coding	ENSG00000005801
13	77618792	77901185	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]	protein_coding	ENSG00000005810
13	77566740	77601330	FBXL3	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]	protein_coding	ENSG00000005812
16	30483979	30534506	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]	protein_coding	ENSG00000005844
17	48172101	48189516	PDK2	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]	protein_coding	ENSG00000005882
17	48133332	48167845	ITGA3	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]	protein_coding	ENSG00000005884
X	24167290	24234372	ZFX	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]	protein_coding	ENSG00000005889
X	119561682	119603220	LAMP2	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:6501]	protein_coding	ENSG00000005893
17	34900737	34946278	GGNBP2	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]	protein_coding	ENSG00000005955
17	42449548	42466873	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]	protein_coding	ENSG00000005961
7	95107756	95169544	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]	protein_coding	ENSG00000005981
16	19513015	19533467	GDE1	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]	protein_coding	ENSG00000006007
19	18699495	18703146	C19orf60	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]	protein_coding	ENSG00000006015
19	18683030	18718551	CRLF1	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]	protein_coding	ENSG00000006016
17	45884738	45899200	OSBPL7	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]	protein_coding	ENSG00000006025
17	31254928	31272124	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]	protein_coding	ENSG00000006042
17	7191571	7197934	YBX2	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	protein_coding	ENSG00000006047
17	39502344	39507064	KRT33A	keratin 33A [Source:HGNC Symbol;Acc:6450]	protein_coding	ENSG00000006059
11	17414432	17498449	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]	protein_coding	ENSG00000006071
17	34391640	34399392	CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]	protein_coding	ENSG00000006074
17	34415602	34417515	CCL3	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]	protein_coding	ENSG00000006075
17	35874900	35969544	SYNRG	synergin, gamma [Source:HGNC Symbol;Acc:557]	protein_coding	ENSG00000006114
16	24266874	24374122	CACNG3	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]	protein_coding	ENSG00000006116
11	60691935	60704631	TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]	protein_coding	ENSG00000006118
17	33905065	34053436	AP2B1	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]	protein_coding	ENSG00000006125
7	97361220	97369784	TAC1	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]	protein_coding	ENSG00000006128
16	3313743	3351401	ZNF263	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]	protein_coding	ENSG00000006194
16	57406370	57418960	CX3CL1	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]	protein_coding	ENSG00000006210
17	48620419	48633213	SPATA20	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	protein_coding	ENSG00000006282
17	48638429	48704835	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]	protein_coding	ENSG00000006283
16	3068446	3072384	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]	protein_coding	ENSG00000006327
7	96634860	96640351	DLX6	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]	protein_coding	ENSG00000006377
14	71189243	71276251	MAP3K9	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]	protein_coding	ENSG00000006432
7	39663082	39747723	RALA	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]	protein_coding	ENSG00000006451
7	97920963	98030380	BAIAP2L1	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]	protein_coding	ENSG00000006453
7	139784546	139876835	KDM7A	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]	protein_coding	ENSG00000006459
7	13930853	14031050	ETV1	ets variant 1 [Source:HGNC Symbol;Acc:3490]	protein_coding	ENSG00000006468
7	141250989	141355044	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]	protein_coding	ENSG00000006530
11	67776048	67796744	ALDH3B1	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]	protein_coding	ENSG00000006534
1	55245385	55266940	TTC22	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]	protein_coding	ENSG00000006555
7	77428122	77586818	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:13411]	protein_coding	ENSG00000006576
7	75398851	75419214	CCL26	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]	protein_coding	ENSG00000006606
2	242295658	242434256	FARP2	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]	protein_coding	ENSG00000006607
11	17515442	17565963	USH1C	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]	protein_coding	ENSG00000006611
7	30536237	30591095	GGCT	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]	protein_coding	ENSG00000006625
7	87505531	87538856	DBF4	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]	protein_coding	ENSG00000006634
19	3594504	3606838	TBXA2R	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]	protein_coding	ENSG00000006638
7	112063023	112121072	IFRD1	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]	protein_coding	ENSG00000006652
19	40194946	40200084	LGALS14	lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:30054]	protein_coding	ENSG00000006659
17	13972813	14111994	COX10	cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]	protein_coding	ENSG00000006695
7	73868120	74016931	GTF2IRD1	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:4661]	protein_coding	ENSG00000006704
