Chr	Start	End	Name
chr11	69261150	69264549	21955
chr17	41951630	41956679	30293
chr17	79778930	79782799	31190
chr3	194797900	194806399	8823
chr11	2121830	2125679	20903
chr5	149066280	149074249	11652
chr17	2930750	2937799	29481
chr6	20180950	20184749	12514
chr11	64657150	64663099	21759
chr19	45949500	45955799	33136
chr17	73585450	73588399	30930
chr9	140208350	140212529	18966
chr21	46364500	46383849	34910
chr5	755800	761729	10289
chr2	26941880	26948899	4019
chr6	15511050	15515999	12439
chr9	140144030	140149999	18961
chr10	71216650	71235679	19793
chr16	89588980	89592979	29321
chr16	83930830	83940479	29142
chr17	21292630	21295199	29895
chr8	125405600	125409029	17090
chr9	139813750	139816099	18939
chr6	168453650	168457429	14210
chr6	164163080	164173329	14145
chr22	35714230	35717199	35459
chr5	1116580	1129679	10298
chr1	223211500	223215349	3299
chr14	73334550	73338899	26107
chr20	55730350	55733899	34422
chr16	84168650	84174149	29153
chr5	138730080	138733299	11375
chr8	22453030	22464799	16206
chr4	12487400	12489449	9072
chr12	117529630	117533099	24318
chr15	99963730	99968799	27955
chr15	101897550	101899729	28001
chr10	694600	697729	18996
chr12	117463480	117492879	24312
chr8	125684950	125691299	17108
chr1	212698130	212701299	3194
chr10	121106500	121110329	20642
chr11	69310180	69312849	21961
chr11	64006730	64011049	21735
chr7	1550150	1555199	14309
chr4	185263550	185271629	10183
chr12	820750	830479	22820
chr16	86897700	86902199	29236
chr5	170177630	170180749	11910
chr8	41511200	41530879	16489
chr11	61319400	61321479	21626
chr6	43273300	43276279	13082
chr11	67394880	67397079	21894
chr17	73482830	73486199	30924
chr19	4573680	4579899	32216
chr19	18478300	18483199	32688
chr4	8611250	8614599	9058
chr14	105884430	105890499	26670
chr17	76261450	76264499	31066
chr17	48921780	48925899	30511
chr20	56013850	56019079	34433
chr19	56159080	56163729	33469
chr14	52476980	52483249	25758
chr1	90306930	90310849	1720
chr22	19560650	19562729	35051
chr15	99969250	99986549	27956
chr13	51832950	51838499	25099
chr9	139816400	139825629	18940
chr6	164522450	164533699	14158
chr4	184794050	184799749	10174
chr14	69747900	69751799	26054
chr10	134327830	134336029	20811
chr5	170213550	170217499	11914
chr11	64566650	64572699	21753
chr16	31122030	31126299	28597
chr13	114056350	114060799	25439
chr4	190759500	190761679	10275
chr9	140088680	140090899	18954
chr12	280000	292479	22794
chr19	46070100	46073929	33148
chr22	19969350	19975099	35065
chr16	57301780	57305199	28769
chr14	105627950	105630129	26647
chr22	44540050	44542079	35806
chr4	8379400	8384099	9050
chr22	24813880	24818099	35179
chr20	58608180	58610849	34468
chr19	2667200	2671779	32119
chr19	15232930	15237899	32556
chr17	76138880	76142799	31058
chr8	144582000	144586829	17344
chr1	3371530	3374849	103
chr11	69301500	69305099	21960
chr15	62457530	62459779	27104
chr8	1716680	1718699	15933
chr6	43478000	43481749	13094
chr11	44598230	44602279	21406
chr8	145546230	145550849	17387
chr9	124470930	124473899	18436
chr19	49841400	49845099	33318
chr17	79280000	79288399	31159
chr8	144659150	144662599	17354
chr9	138995900	139003579	18881
chr11	2007080	2010879	20898
chr6	136398230	136400329	13741
chr1	112271800	112278179	1967
chr5	674330	676379	10286
chr4	186933700	186939029	10258
chr12	3150230	3155799	22931
chr15	78494530	78498999	27571
chr1	155137550	155141279	2328
chr12	6739500	6743499	23014
chr9	139458600	139468699	18906
chr11	44779900	44789979	21425
chr9	139440700	139445029	18902
chr2	39766680	39769749	4281
chr7	30731250	30735499	14625
chr12	131485450	131489079	24577
chr22	46526530	46528549	35844
chr16	89356850	89358879	29306
chr11	61343900	61345999	21628
chr3	12966880	12977599	6579
chr5	149059650	149065749	11651
chr10	134219530	134223249	20805
chr15	67170650	67178099	27265
chr12	117522080	117527599	24317
chr22	20007100	20014429	35071
chr4	152724650	152731049	9982
chr13	113374650	113389649	25411
chr19	8430330	8434329	32330
chr9	139873150	139879049	18944
chr8	144289550	144292349	17333
chr11	64083730	64089799	21742
chr6	164375580	164388379	14152
chr12	117497630	117509979	24314
chr11	76332900	76343079	22138
chr17	36596650	36600979	30082
chr19	6237600	6239899	32273
chr19	457930	462449	32003
chr19	14669150	14676799	32551
chr3	40330400	40337099	6971
chr7	73701450	73706329	15035
chr16	66638980	66641179	28853
chr12	58001480	58008899	23708
chr22	47043950	47051899	35870
chr12	111798800	111802499	24230
chr10	34006750	34010979	19496
chr16	1828450	1830549	28079
chr1	12078850	12081379	333
chr5	176888900	176890899	12078
chr11	65135580	65140999	21788
chr8	142094950	142100049	17296
chr19	2126280	2130749	32086
chr20	60980500	60982679	34493
chr4	153603800	153605849	9994
chr16	85174900	85178229	29187
chr19	38662230	38666779	32919
chr10	121016430	121018499	20631
chr19	4012880	4016479	32187
chr15	40730530	40733399	26827
chr1	32089800	32098549	852
chr11	130732700	130739179	22777
chr1	205407400	205409799	3050
chr1	150227300	150233699	2184
chr16	58528100	58531499	28825
chr14	105663400	105667199	26652
chr3	183341850	183348999	8598
chr16	1469350	1472449	28064
chr10	73466580	73476399	19858
chr22	19507780	19514699	35049
chr2	128389200	128398349	5328
chr9	139582850	139586629	18922
chr20	44043350	44050849	34206
chr14	90977950	90980579	26324
chr3	46730700	46739949	7105
chr20	62481550	62483599	34546
chr17	42247200	42250329	30308
chr20	24481350	24486749	33868
chr22	51014300	51022929	35922
chr12	132386330	132391199	24590
chr9	140116700	140119679	18959
chr6	170451750	170455199	14240
chr2	86420630	86422849	4910
chr8	145115030	145119379	17378
chr8	19940100	19942899	16158
chr15	57840100	57849229	27040
chr15	57887300	57893449	27045
chr16	19726930	19731429	28388
chr9	139480200	139484599	18908
chr11	64510600	64517099	21748
chr17	48991550	49001649	30519
chr10	135185580	135188849	20823
chr14	105187480	105192299	26626
chr12	117534350	117536479	24319
chr3	50327080	50332249	7249
chr9	137239800	137242949	18841
chr22	20307150	20310579	35083
chr3	192210200	192213149	8760
chr17	42855350	42861079	30327
chr10	121090250	121103699	20640
chr2	96772580	96779299	4958
chr14	105802300	105806379	26665
chr11	46359280	46364779	21476
chr15	71476280	71481579	27389
chr1	2513830	2518479	79
chr2	33240430	33242529	4159
chr8	145732030	145734849	17397
chr11	45682650	45685499	21460
chr17	43485880	43490729	30370
chr10	100224550	100228149	20334
chr21	44201230	44205479	34827
chr7	75794500	75797649	15081
chr10	105514950	105524199	20452
chr19	46066680	46068849	33147
chr6	159545400	159549099	14095
chr7	73927230	73930899	15049
chr9	131395950	131400349	18634
chr22	18889580	18893529	35032
chr13	29527550	29531749	24734
chr3	13116680	13125379	6595
chr8	107780580	107784049	16974
chr11	1859750	1865449	20884
chr11	64120350	64128099	21744
chr6	46903080	46905699	13180
chr16	84137930	84146399	29151
chr1	214448850	214457949	3213
chr2	106129630	106134229	5138
chr7	75615600	75625479	15076
chr17	4456380	4460729	29528
chr8	38269500	38272899	16427
chr1	151803080	151806949	2238
chr16	58520050	58522099	28824
chr17	49004330	49014099	30520
chr5	175105900	175116349	12049
chr22	50746300	50752549	35911
chr8	9011450	9014329	15989
chr12	58119150	58121199	23711
chr11	64755730	64758599	21763
chr8	1770700	1774149	15938
chr14	58561500	58568099	25841
chr17	62074250	62078049	30718
chr17	42277350	42279399	30311
chr1	26067500	26072199	676
chr1	36802950	36806279	979
chr7	30933330	30944179	14638
chr14	25514800	25521199	25596
chr22	22049800	22054099	35107
chr3	194816350	194826599	8824
chr17	48184430	48193149	30472
chr13	51171350	51173449	25087
chr22	42980000	42982049	35742
chr16	68016350	68023029	28925
chr7	1087930	1097449	14299
chr16	30549450	30552249	28560
chr11	64862300	64865579	21769
chr9	137292200	137306529	18850
chr3	49491150	49494229	7216
chr1	10879130	10884499	300
chr9	140114550	140116549	18958
chr5	172020700	172022829	11962
chr7	2676450	2681629	14353
chr2	71726100	71736049	4775
chr17	48217250	48221349	30475
chr3	50332550	50342399	7250
chr14	67979550	67982249	25972
chr4	184905150	184911799	10176
chr16	84175700	84179199	29154
chr5	133770180	133776179	11264
chr12	3237950	3252529	22942
chr1	202075280	202079479	2934
chr8	126456680	126466449	17131
chr17	28057880	28060329	29980
chr7	73913430	73917599	15048
chr8	141684430	141688429	17281
chr3	49917750	49921229	7234
chr22	29277680	29279749	35293
chr19	4517900	4520749	32212
chr3	48933350	48937749	7180
chr17	36602800	36617799	30083
chr19	39220950	39227199	32937
chr6	164517700	164522399	14157
chr12	109999580	110002629	24171
chr6	154910800	154916029	14004
chr1	10786550	10790549	286
chr11	842750	847999	20862
chr10	99249330	99251949	20300
chr17	76889050	76894579	31097
chr8	144294750	144296949	17334
chr3	52215380	52219899	7297
chr7	73888030	73898499	15044
chr17	4436850	4442779	29526
chr7	32624150	32628099	14662
chr15	57856950	57859049	27042
chr16	1875050	1878249	28081
chr9	134108300	134115529	18733
chr4	113590400	113593999	9653
chr17	19279500	19282399	29850
chr1	32033050	32056249	848
chr21	44858580	44866029	34851
chr1	16064180	16066199	401
chr9	133319850	133323549	18707
chr1	1279200	1283179	25
chr21	45322030	45324649	34877
chr14	69233130	69236579	26026
chr16	56994150	56997349	28759
chr8	125461880	125464499	17094
chr10	14115300	14117799	19224
chr1	62334280	62337179	1462
chr12	2564580	2568849	22912
chr1	23804600	23812099	600
chr7	30973130	30975249	14640
chr19	39108050	39111379	32931
chr22	19554700	19558529	35050
chr13	113614500	113617649	25422
chr9	124368500	124385999	18424
chr2	20832200	20842929	3934
chr10	88712330	88722199	20109
chr1	10772880	10786099	285
chr22	46941130	46947799	35860
chr17	62037000	62042829	30714
chr20	546850	550629	33561
chr14	91009300	91013229	26328
chr18	13686280	13689049	31465
chr3	52066350	52075999	7282
chr16	67580800	67584599	28897
chr9	139247580	139249749	18890
chr3	129184930	129189699	8097
chr17	79820600	79822599	31193
chr14	105195830	105204779	26628
chr17	8128700	8131129	29636
chr2	160016350	160023949	5489
chr14	104346380	104351249	26606
chr2	29232730	29240749	4098
chr2	26932350	26935399	4018
