Chrom	Start	End	Name	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr17	9936450	9940679	29666	Promoter (<=1kb)	17	9818572	9940064	121493	2	ENST00000585266.1	0	GAS7	ENSG00000007237.14
chr17	9945050	9947099	29667	Promoter (4-5kb)	17	9818572	9940064	121493	2	ENST00000585266.1	-4987	GAS7	ENSG00000007237.14
chr8	134510400	134518599	17228	Promoter (<=1kb)	8	134477021	134511626	34606	2	ENST00000523854.1	0	ST3GAL1	ENSG00000008513.10
chr6	112124430	112127429	13540	Promoter (4-5kb)	6	112029149	112119626	90478	2	ENST00000523574.1	-4805	FYN	ENSG00000010810.13
chr19	38699800	38701929	32922	Promoter (2-3kb)	19	38702712	38704619	1908	2	ENST00000488378.1	2690	DPF1	ENSG00000011332.15
chr6	2845930	2848029	12180	Promoter (3-4kb)	6	2832566	2842240	9675	2	ENST00000380739.5	-3691	SERPINB1	ENSG00000021355.8
chr1	32572400	32575499	870	Promoter (<=1kb)	1	32573639	32642169	68531	1	ENST00000373625.3	0	KPNA6	ENSG00000025800.9
chr13	24331350	24334829	24685	Promoter (<=1kb)	13	24304328	24334712	30385	2	ENST00000433710.1	0	MIPEP	ENSG00000027001.7
chr15	68346550	68348779	27304	Promoter (<=1kb)	15	68346647	68434677	88031	1	ENST00000564915.1	0	PIAS1	ENSG00000033800.9
chr5	14444900	14447049	10389	Promoter (3-4kb)	5	14440928	14466560	25633	1	ENST00000515710.1	3973	TRIO	ENSG00000038382.13
chr5	14439350	14443279	10388	Promoter (<=1kb)	5	14440928	14466560	25633	1	ENST00000515710.1	0	TRIO	ENSG00000038382.13
chr5	82769000	82771779	10951	Promoter (1-2kb)	5	82767744	82876267	108524	1	ENST00000502527.2	1257	VCAN	ENSG00000038427.11
chr9	117797530	117799629	18367	Promoter (<=1kb)	9	117792536	117798175	5640	2	ENST00000460345.1	0	TNC	ENSG00000041982.10
chr2	33516680	33519079	4172	Promoter (<=1kb)	2	33516715	33623755	107041	1	ENST00000272273.5	0	LTBP1	ENSG00000049323.11
chr4	166247200	166250149	10074	Promoter (<=1kb)	4	166248775	166264312	15538	1	ENST00000261507.6	0	MSMO1	ENSG00000052802.8
chr14	89817600	89819699	26297	Promoter (<=1kb)	14	89815877	89817665	1789	2	ENST00000557261.1	0	FOXN3	ENSG00000053254.11
chr9	123687300	123701149	18400	Promoter (<=1kb)	9	123664671	123691047	26377	2	ENST00000373887.3	0	TRAF1	ENSG00000056558.6
chr9	123678450	123685599	18399	Promoter (1-2kb)	9	123664671	123676850	12180	2	ENST00000546084.1	-1601	TRAF1	ENSG00000056558.6
chr1	183202430	183205599	2756	Promoter (3-4kb)	1	183208636	183209514	879	1	ENST00000461729.1	-3037	LAMC2	ENSG00000058085.10
chr2	202121780	202124479	5875	Promoter (<=1kb)	2	202122703	202141627	18925	1	ENST00000447616.1	0	CASP8	ENSG00000064012.17
chr5	121647450	121649529	11134	Promoter (<=1kb)	5	121647455	121758727	111273	1	ENST00000508681.1	0	SNCAIP	ENSG00000064692.14
