Chrom	Start	End	Name	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	geneName	geneId
chr17	9936450	9940679	29666	Promoter (<=1kb)	17	9818572	9940064	121493	2	ENST00000585266.1	0	GAS7	ENSG00000007237.14
chr17	9945050	9947099	29667	Promoter (4-5kb)	17	9818572	9940064	121493	2	ENST00000585266.1	-4987	GAS7	ENSG00000007237.14
chr7	6299250	6301929	14425	Intron (ENST00000350796.3/ENSG00000008256.11, intron 1 of 12)	7	6201407	6312275	110869	2	ENST00000350796.3	10346	CYTH3	ENSG00000008256.11
chr8	134510400	134518599	17228	Promoter (<=1kb)	8	134477021	134511626	34606	2	ENST00000523854.1	0	ST3GAL1	ENSG00000008513.10
chr6	112124430	112127429	13540	Promoter (4-5kb)	6	112029149	112119626	90478	2	ENST00000523574.1	-4805	FYN	ENSG00000010810.13
chr19	38699800	38701929	32922	Promoter (2-3kb)	19	38702712	38704619	1908	2	ENST00000488378.1	2690	DPF1	ENSG00000011332.15
chr6	2845930	2848029	12180	Promoter (3-4kb)	6	2832566	2842240	9675	2	ENST00000380739.5	-3691	SERPINB1	ENSG00000021355.8
chr1	32572400	32575499	870	Promoter (<=1kb)	1	32573639	32642169	68531	1	ENST00000373625.3	0	KPNA6	ENSG00000025800.9
chr11	35186230	35189579	21358	Intron (ENST00000263398.6/ENSG00000026508.12, intron 1 of 8)	11	35198118	35227801	29684	1	ENST00000525211.1	-8539	CD44	ENSG00000026508.12
chr13	24331350	24334829	24685	Promoter (<=1kb)	13	24304328	24334712	30385	2	ENST00000433710.1	0	MIPEP	ENSG00000027001.7
chr14	61686050	61688079	25889	Intron (ENST00000555185.1/ENSG00000027075.9, intron 1 of 3)	14	61654287	61919983	265697	1	ENST00000556778.1	31764	PRKCH	ENSG00000027075.9
chr15	68346550	68348779	27304	Promoter (<=1kb)	15	68346647	68434677	88031	1	ENST00000564915.1	0	PIAS1	ENSG00000033800.9
chr5	14444900	14447049	10389	Promoter (3-4kb)	5	14440928	14466560	25633	1	ENST00000515710.1	3973	TRIO	ENSG00000038382.13
chr5	14439350	14443279	10388	Promoter (<=1kb)	5	14440928	14466560	25633	1	ENST00000515710.1	0	TRIO	ENSG00000038382.13
chr5	14447630	14453599	10390	Intron (ENST00000344204.4/ENSG00000038382.13, intron 34 of 56)	5	14440928	14466560	25633	1	ENST00000515710.1	6703	TRIO	ENSG00000038382.13
chr5	82769000	82771779	10951	Promoter (1-2kb)	5	82767744	82876267	108524	1	ENST00000502527.2	1257	VCAN	ENSG00000038427.11
chr9	117797530	117799629	18367	Promoter (<=1kb)	9	117792536	117798175	5640	2	ENST00000460345.1	0	TNC	ENSG00000041982.10
chr16	12253050	12256779	28303	Intron (ENST00000566228.1/ENSG00000048471.9, intron 13 of 20)	16	12223554	12621254	397701	1	ENST00000564791.1	29497	SNX29	ENSG00000048471.9
chr2	33332300	33334379	4165	Intron (ENST00000404816.2/ENSG00000049323.11, intron 3 of 33)	2	33359473	33413743	54271	1	ENST00000432635.1	-25094	LTBP1	ENSG00000049323.11
