Chr	Start	End	Name
chr2	105995880	106004779	5129
chr4	187760050	187762849	10273
chr18	74777530	74781799	31978
chr10	93642950	93645049	20202
chr5	76085030	76088849	10860
chr2	1654950	1661929	3707
chr1	203370430	203379079	2987
chr9	110510650	110515049	18230
chr2	55338050	55341179	4575
chr4	7841700	7846849	9019
chr5	147846830	147855179	11596
chr5	52774380	52779599	10611
chr17	16188130	16191949	29727
chr7	137665030	137670129	15694
chr22	27830480	27832579	35249
chr4	53733880	53738499	9293
chr18	74810000	74816499	31981
chr9	113341100	113343129	18294
chr15	71125850	71129349	27377
chr9	132889350	132893499	18700
chr20	10488330	10490949	33718
chr11	121541230	121543279	22615
chr8	98955050	98958279	16870
chr4	148401030	148405129	9926
chr3	14244380	14247749	6614
chr7	137616700	137619479	15690
chr13	53171800	53175749	25124
chr1	236133780	236136979	3598
chr11	114178000	114181049	22472
chr10	11567080	11569099	19174
chr1	52105750	52111449	1266
chr8	8203380	8207149	15970
chr21	36256180	36261749	34715
chr6	25295800	25300849	12565
chr3	99355480	99361399	7679
chr6	36701630	36704079	12932
chr6	11317330	11319429	12335
chr11	121592650	121595349	22617
chr4	114898700	114901699	9682
chr17	9945050	9947099	29667
chr10	3976250	3979699	19046
chr7	134450630	134452829	15642
chr1	87594550	87599599	1688
chr5	171855600	171859349	11946
chr14	50436650	50440499	25715
chr18	65183480	65186129	31924
chr5	76010400	76015449	10858
chr2	224588980	224591299	6141
chr2	38299030	38302099	4238
chr10	95223130	95232129	20227
chr8	38560900	38562899	16440
chr8	25837930	25844199	16271
chr2	38384230	38386249	4248
chr1	67140630	67144229	1549
chr18	60928800	60931279	31912
chr6	26304600	26306729	12591
chr10	129789080	129791249	20775
chr5	171837230	171849079	11944
chr8	95002550	95005279	16809
chr2	175497100	175500379	5656
chr10	50312080	50316249	19626
chr13	31438500	31440499	24755
chr6	130004100	130007099	13689
chr13	50931000	50932999	25077
chr15	71086130	71088349	27374
chr10	88842800	88845749	20112
chr21	43061030	43063899	34804
chr17	535650	537699	29353
chr3	197155580	197157749	8872
chr6	35629730	35631829	12904
chr12	19060380	19062549	23168
chr6	27485830	27487979	12619
chr18	74764150	74771699	31976
chr10	29947400	29951349	19389
chr17	62403900	62407599	30738
chr10	95217100	95222549	20226
chr9	112541880	112545699	18257
chr13	110520530	110524349	25337
chr6	25279050	25281649	12563
chr1	61448380	61451799	1430
chr16	73205380	73208699	29042
chr12	108730630	108733129	24128
chr1	19739850	19744399	492
chr18	46447830	46485279	31728
chr1	95466850	95468879	1826
chr18	60903730	60907249	31911
chr16	55508150	55511249	28724
chr10	64395880	64398099	19729
chr1	95411480	95413529	1819
chr15	48681850	48686229	26948
chr5	156966550	156969529	11801
chr1	117423700	117426279	2064
chr5	64356900	64360079	10713
chr1	117419830	117422999	2063
chr5	81642550	81646229	10944
chr1	117528830	117532099	2071
chr14	61686050	61688079	25889
chr4	186496600	186498729	10226
chr1	230358900	230360999	3482
chr7	137671000	137675579	15695
chr1	85928750	85932249	1670
chr9	135644200	135646529	18788
chr8	116677100	116682699	16990
chr3	8602450	8605599	6465
chr4	77531830	77533999	9411
chr2	238164030	238166779	6294
chr1	218543080	218546849	3249
chr15	71093850	71095899	27375
chr11	103643930	103645949	22358
chr3	64205650	64212849	7470
chr5	14439350	14443279	10388
chr2	106006700	106011599	5130
chr18	13498950	13504499	31450
chr8	70403850	70407399	16679
chr14	54831300	54834429	25785
chr13	110525180	110527899	25338
chr14	85994900	85997029	26281
chr5	171830050	171832049	11942
chr3	172230000	172232129	8516
chr4	86645650	86648899	9480
chr15	68770150	68773099	27320
chr2	38402050	38407279	4249
chr5	172442450	172446299	11997
chr19	16544050	16548379	32609
chr5	169740630	169742999	11901
chr2	21492430	21494479	3939
chr18	20935530	20939399	31515
chr10	85626880	85628949	20085
chr3	99376400	99380379	7681
chr16	73075550	73094829	29037
chr5	75985180	75988899	10857
chr8	38568950	38571679	16441
chr6	25301900	25303999	12566
chr3	105087030	105089199	7741
chr9	133698100	133702679	18720
chr1	147717500	147719579	2159
chr7	47822450	47824549	14866
chr2	223914350	223923129	6139
chr15	57719230	57721649	27032
chr18	55442600	55449899	31812
chr5	141946900	141948999	11497
chr21	18982300	18985429	34582
chr3	27597830	27602099	6784
chr7	129995100	129997229	15566
chr1	62104530	62107499	1459
chr9	95362630	95364749	18004
chr9	133717450	133725049	18723
chr1	117492080	117495199	2068
chr1	236079350	236081749	3597
chr3	42883150	42889499	7024
chr13	24000300	24003149	24663
chr9	123702950	123704949	18401
chr14	54814580	54817699	25784
chr20	10615500	10619399	33726
chr15	26093750	26097029	26700
chr4	4308400	4311199	8971
chr14	51269430	51271429	25740
chr15	67437400	67444549	27281
chr1	87614650	87619099	1689
chr5	167651980	167654399	11886
chr7	107577130	107582349	15403
chr6	41470400	41475199	13016
chr7	137675900	137688499	15696
chr2	219695200	219697229	6077
chr4	186461930	186464299	10223
chr1	168695080	168697729	2582
chr1	39656450	39663179	1028
chr10	30011430	30015749	19392
chr22	27609030	27611999	35244
chr2	106011650	106017129	5131
chr6	43087580	43090349	13075
chr18	67066750	67069899	31928
chr3	30721680	30724379	6834
chr21	36574430	36583249	34717
chr9	99270280	99272429	18101
chr5	159304130	159307279	11846
chr16	17470680	17474249	28364
chr1	145022380	145024379	2109
chr10	29927800	29939149	19388
chr11	34294150	34298179	21344
chr14	56470780	56472829	25836
chr9	95369000	95372879	18005
chr3	127628230	127631279	8016
chr12	94601050	94603079	23973
chr9	119232480	119234649	18375
chr7	137561430	137565449	15687
chr9	108057830	108063229	18198
chr8	94893100	94895099	16797
chr2	23719580	23722599	3945
chr1	95419030	95422449	1820
chr6	132450580	132455679	13702
chr5	14447630	14453599	10390
chr1	236045530	236047629	3596
chr5	77839900	77845979	10878
chr1	95317750	95322179	1815
chr1	68083380	68085399	1563
chr16	20921200	20924279	28413
chr11	123063850	123067399	22636
chr11	34376480	34378599	21350
chr4	57916650	57925049	9336
chr6	160120930	160124029	14097
chr18	13434350	13438629	31444
chr3	148672880	148675429	8267
chr6	125541500	125546599	13642
chr5	172899450	172902129	12014
chr5	90414500	90422099	10978
chr15	95808780	95811329	27884
chr2	102652780	102655399	5105
chr4	7911380	7913399	9021
chr13	24331350	24334829	24685
chr6	76328650	76331249	13328
chr6	90805730	90809579	13394
chr13	33045650	33047649	24798
chr7	102534950	102536949	15334
chr16	55511550	55515729	28725
chr17	8582780	8585849	29654
chr14	92354900	92359399	26365
chr16	73096450	73107049	29038
chr1	230998100	231006049	3494
chr10	4982300	4985049	19074
chr8	103936200	103939679	16951
chr17	57922150	57925229	30650
chr3	64198650	64204749	7469
chr1	146555500	146557499	2142
chr6	75911500	75917579	13310
chr6	27861130	27864299	12629
chr7	130919200	130921379	15590
chr14	27065800	27068999	25597
chr6	108926680	108928799	13472
chr5	90457250	90460149	10979
chr8	99195400	99197949	16876
chr11	89223200	89225999	22266
chr6	11249880	11253579	12333
chr3	172232300	172235649	8517
chr1	230347930	230351649	3480
chr2	210442980	210444999	5968
chr15	101441600	101444299	27981
chr10	30021930	30027449	19393
chr14	61569080	61572199	25887
chr19	41813200	41817729	33019
chr4	54968530	54970579	9309
chr2	9317450	9321379	3779
chr2	16830900	16835249	3895
chr5	142531550	142537049	11550
chr2	177417900	177420049	5674
chr11	12256080	12258799	21130
chr20	10588950	10592629	33723
chr2	55383300	55386279	4579
chr6	43082900	43084949	13074
chr18	74839080	74844599	31984
chr8	97522600	97525799	16846
chr6	116690650	116693799	13577
chr7	150481300	150486599	15809
chr14	75082080	75089299	26147
chr22	28189650	28193499	35268
chr11	112654300	112658999	22433
chr4	38858700	38860799	9201
chr22	27905950	27909449	35250
chr3	127632530	127638149	8017
chr2	192169200	192171729	5797
chr8	98937130	98939149	16868
chr13	43700930	43702949	24948
chr11	121286980	121288979	22611
chr8	30024100	30028399	16357
chr1	86034800	86037529	1675
chr10	3535830	3537979	19026
chr8	37399880	37402679	16405
chr10	104511250	104514129	20413
chr11	27013400	27018629	21283
chr3	112963300	112965349	7805
chr11	7596150	7603029	20998
chr1	218517250	218523249	3246
chr13	80509550	80512129	25203
chr2	175527730	175529779	5657
chr5	14444900	14447049	10389
chr1	95324480	95333129	1816
chr3	30695100	30699249	6830
chr20	10632530	10637199	33729
chr10	24672030	24675349	19341
chr12	93970100	93973379	23939
chr6	40686700	40688829	13000
chr7	25701900	25704079	14569
chr10	106111880	106114349	20474
chr1	20419200	20421299	517
chr10	95750980	95752979	20235
chr10	111726250	111730879	20482
chr1	85068750	85070879	1651
chr8	99393480	99396429	16881
chr2	33332300	33334379	4165
chr2	230281000	230283079	6182
chr20	52195200	52200749	34393
chr16	86607800	86609849	29229
chr14	21081380	21083499	25482
chr7	106061000	106063529	15381
chr2	55345500	55348829	4576
chr22	32346280	32348699	35390
chr9	117797530	117799629	18367
chr3	112358550	112361749	7797
chr2	55323180	55325599	4572
chr14	69401530	69426999	26038
chr1	224355850	224357879	3321
chr12	94434430	94437379	23968
chr2	238581150	238588149	6323
chr10	115717350	115719479	20561
chr3	14469050	14478649	6625
chr10	33430900	33433529	19475
chr12	122026880	122029699	24401
chr8	18835250	18837329	16124
chr7	134615900	134619679	15658
chr11	19616830	19619199	21246
chr7	79080450	79085449	15108
chr2	238577980	238581079	6322
chr3	15355130	15357999	6650
chr18	55453430	55461829	31814
chr2	19562050	19564099	3910
chr17	62656680	62659999	30741
chr11	128320380	128323799	22714
chr1	34436580	34438579	937
chr6	155509300	155511329	14010
chr4	7821150	7826529	9017
chr12	109535600	109537749	24158
chr1	59911580	59913999	1412
chr5	43063630	43068879	10583
chr9	112568200	112570649	18260
chr2	239771700	239773799	6354
chr1	165795450	165799879	2536
chr3	14442430	14448579	6624
chr14	61190150	61192249	25883
chr15	92393230	92401849	27823
chr10	104517150	104520949	20414
chr12	76370650	76373279	23844
chr1	84157500	84159879	1643
chr7	50719200	50728629	14888
chr2	38345980	38349649	4246
chr9	18860900	18862949	17580
chr21	30515880	30519229	34637
chr4	77904680	77907779	9422
chr1	218529050	218532149	3248
chr1	230405400	230407399	3483
chr9	97580450	97586779	18054
chr10	17047480	17053229	19254
chr6	27803550	27808499	12626
chr20	39956880	39960299	34134
chr1	33453680	33455779	899
chr11	93860300	93871049	22277
chr11	118757180	118762149	22554
chr11	34212830	34216179	21336
chr8	38641650	38646629	16448
chr6	26271350	26275549	12589
chr10	124232750	124234749	20704
chr2	11513450	11519599	3849
chr9	27527050	27529899	17619
chr5	81651730	81654449	10945
chr2	55326550	55328549	4573
chr6	169565400	169567399	14221
