Supplementary Table 3C: Genes annotation of hypoacetylated H3K27ac ChIPseq regions between PLN and control group using a 5kb TSS window.									
Peak ID*	Chromosome	Peak start†	Peak end†	Gene name	RefSeq transcript ID	Distance to TSS	Distance to TES		
21759	chr11	64657150	64663099	MIR192	NR_029578	-1407	-1516		
21759	chr11	64657150	64663099	MIR194-2	NR_029829	-1214	-1298		
30930	chr17	73585450	73588399	MYO15B	NM_001309242	2786	-36002		
18961	chr9	140144030	140149999	FAM166A	NM_001001710	-4771	-8980		
18961	chr9	140144030	140149999	STPG3-AS1	NR_038389	934	-2344		
18961	chr9	140144030	140149999	STPG3	NM_001004353	1302	-920		
18961	chr9	140144030	140149999	STPG3	NM_001256701	1302	-920		
18961	chr9	140144030	140149999	STPG3	NM_001256699	1302	-920		
18961	chr9	140144030	140149999	STPG3	NM_001256700	1302	-920		
18961	chr9	140144030	140149999	STPG3	NR_046340	1302	-920		
18961	chr9	140144030	140149999	STPG3	NR_046339	1302	-920		
18961	chr9	140144030	140149999	NELFB	NM_015456	-2737	-20985		
29142	chr16	83930830	83940479	MLYCD	NM_012213	2925	-14132		
11375	chr5	138730080	138733299	PROB1	NM_001161546	-805	-4055		
16206	chr8	22453030	22464799	C8orf58	NM_001198827	1801	-2747		
16206	chr8	22453030	22464799	C8orf58	NM_173686	1801	-2747		
16206	chr8	22453030	22464799	C8orf58	NM_001013842	1801	-2747		
16206	chr8	22453030	22464799	CCAR2	NR_033902	-3230	-19068		
16206	chr8	22453030	22464799	CCAR2	NM_021174	-3624	-19068		
18996	chr10	694600	697729	PRR26	NR_027151	277	-2430		
18996	chr10	694600	697729	PRR26	NR_027152	148	-14944		
21735	chr11	64006730	64011049	FKBP2	NM_004470	477	-2717		
21735	chr11	64006730	64011049	FKBP2	NM_001135208	286	-2717		
21735	chr11	64006730	64011049	FKBP2	NM_057092	-698	-2717		
16489	chr8	41511200	41530879	ANK1	NM_001142445	1764	-10296		
16489	chr8	41511200	41530879	ANK1	NM_020480	1764	-10296		
16489	chr8	41511200	41530879	ANK1	NM_020478	1764	-10296		
16489	chr8	41511200	41530879	MIR486-1	NR_030161	-3014	-3081		
16489	chr8	41511200	41530879	MIR486-2	NR_106984	3078	3015		
13082	chr6	43273300	43276279	CRIP3	NM_206922	1740	-1579		
21894	chr11	67394880	67397079	NUDT8	NM_181843	1428	-571		
21894	chr11	67394880	67397079	NUDT8	NM_001243750	1428	-570		
26670	chr14	105884430	105890499	LOC100507437	NR_125385	-1389	-3547		
26670	chr14	105884430	105890499	LOC100507437	NR_125384	-1389	-3547		
26670	chr14	105884430	105890499	MTA1	NM_001203258	1279	-49592		
26670	chr14	105884430	105890499	MTA1	NM_004689	1279	-49592		
33469	chr19	56159080	56163729	CCDC106	NM_013301	2451	-3121		
33469	chr19	56159080	56163729	U2AF2	NM_007279	-4011	-24677		
33469	chr19	56159080	56163729	U2AF2	NM_001012478	-4011	-24677		
11914	chr5	170213550	170217499	GABRP	NM_001291985	4802	-25525		
11914	chr5	170213550	170217499	GABRP	NM_014211	4802	-25525		
21753	chr11	64566650	64572699	MAP4K2	NM_004579	1051	-13102		
21753	chr11	64566650	64572699	MAP4K2	NM_001307990	1051	-13102		
28597	chr16	31122030	31126299	BCKDK	NM_001271926	4550	53		
28597	chr16	31122030	31126299	BCKDK	NM_001122957	4550	53		
28597	chr16	31122030	31126299	BCKDK	NM_005881	4550	53		
28597	chr16	31122030	31126299	KAT8	NM_182958	-4820	-18549		
28597	chr16	31122030	31126299	KAT8	NM_032188	-4820	-18549		
35179	chr22	24813880	24818099	ADORA2A	NM_001278500	-3575	-22338		
32556	chr19	15232930	15237899	ILVBL	NM_006844	1195	-9630		
31058	chr17	76138880	76142799	C17orf99	NM_001163075	-1594	-21524		
103	chr1	3371530	3374849	ARHGEF16	NM_014448	2043	-24487		
21960	chr11	69301500	69305099	LINC01488	NR_120544	2971	-5011		
21960	chr11	69301500	69305099	LINC01488	NR_120545	2971	-5011		
21960	chr11	69301500	69305099	LINC01488	NR_120543	2971	-5011		
21960	chr11	69301500	69305099	LINC01488	NR_120542	2971	-5011		
27104	chr15	62457530	62459779	C2CD4B	NM_001007595	-1173	-2918		
13094	chr6	43478000	43481749	LRRC73	NM_001271882	-1794	-5172		
13094	chr6	43478000	43481749	LRRC73	NM_001012974	-1794	-5172		
13094	chr6	43478000	43481749	YIPF3	NM_015388	4853	-310		
13094	chr6	43478000	43481749	POLR1C	NM_203290	-4902	-9371		
17387	chr8	145546230	145550849	DGAT1	NM_012079	2042	-10294		
33318	chr19	49841400	49845099	CD37	NM_001774	4573	-611		
33318	chr19	49841400	49845099	CD37	NM_001040031	4573	-611		
31159	chr17	79280000	79288399	LINC00482	NR_038080	-1152	-7576		
17354	chr8	144659150	144662599	NAPRT	NM_145201	-354	-3920		
17354	chr8	144659150	144662599	NAPRT	NM_001286829	-354	-3920		
20898	chr11	2007080	2010879	MRPL23-AS1	NR_024471	2170	-4541		
20898	chr11	2007080	2010879	LINC01219	NR_126400	-3346	-5719		
20898	chr11	2007080	2010879	HOTS	NM_001293171	-4658	-8544		
23014	chr12	6739500	6743499	LPAR5	NM_001142961	-685	-13499		
23014	chr12	6739500	6743499	LPAR5	NM_020400	3797	-13499		
21425	chr11	44779900	44789979	TSPAN18	NM_130783	-1036	-169037		
18902	chr9	139440700	139445029	NOTCH1	NM_017617	-2627	-53969		
18902	chr9	139440700	139445029	MIR4674	NR_039821	-2154	-2240		
18902	chr9	139440700	139445029	NALT1	NR_121577	571	-1331		
21628	chr11	61343900	61345999	SYT7	NM_001252065	3394	-63762		
21628	chr11	61343900	61345999	SYT7	NM_004200	3394	-63762		
21628	chr11	61343900	61345999	SYT7	NM_001300773	3394	-63762		
35071	chr22	20007100	20014429	TANGO2	NM_001283248	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283154	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283148	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283186	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283116	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_152906	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283199	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283215	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283129	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NM_001283235	2173	-42684		
35071	chr22	20007100	20014429	TANGO2	NR_104274	2173	-42684		
32330	chr19	8430330	8434329	ANGPTL4	NM_001039667	3319	-6929		
32330	chr19	8430330	8434329	ANGPTL4	NM_139314	3319	-6929		
32330	chr19	8430330	8434329	ANGPTL4	NR_104213	3319	-6929		
18944	chr9	139873150	139879049	PTGDS	NM_000954	4144	-94		
18944	chr9	139873150	139879049	LCNL1	NM_207510	-1345	-4110		
17333	chr8	144289550	144292349	GPIHBP1	NM_178172	-4118	-8094		
17333	chr8	144289550	144292349	GPIHBP1	NM_001301772	-4118	-8094		
21742	chr11	64083730	64089799	TRMT112	NM_016404	-1209	-2801		
21742	chr11	64083730	64089799	TRMT112	NM_001286082	-1209	-2801		
21742	chr11	64083730	64089799	TRMT112	NM_001286084	-1209	-2801		
21742	chr11	64083730	64089799	PRDX5	NM_181652	1205	-2530		
21742	chr11	64083730	64089799	PRDX5	NM_181651	1205	-2530		
21742	chr11	64083730	64089799	PRDX5	NM_012094	1205	-2530		
32003	chr19	457930	462449	SHC2	NM_012435	806	-43607		
15035	chr7	73701450	73706329	CLIP2	NM_003388	85	-116383		
15035	chr7	73701450	73706329	CLIP2	NM_032421	85	-116383		
28853	chr16	66638980	66641179	CMTM3	NR_037613	2145	-7715		
28853	chr16	66638980	66641179	CMTM3	NM_144601	1852	-7715		
28853	chr16	66638980	66641179	CMTM3	NM_181553	1513	-7715		
28853	chr16	66638980	66641179	CMTM3	NR_037619	1446	-7715		
23708	chr12	58001480	58008899	ARHGEF25	NM_001111270	1227	-5838		
23708	chr12	58001480	58008899	ARHGEF25	NM_182947	-28	-5838		
23708	chr12	58001480	58008899	ARHGEF25	NR_046223	-28	-5838		
28079	chr16	1828450	1830549	SPSB3	NM_080861	3081	-2787		
28079	chr16	1828450	1830549	NUBP2	NM_012225	-3424	-9692		
28079	chr16	1828450	1830549	NUBP2	NM_001284501	-3424	-9692		
28079	chr16	1828450	1830549	NUBP2	NM_001284502	-3424	-9692		
28079	chr16	1828450	1830549	NUBP2	NR_104318	-3424	-9692		
333	chr1	12078850	12081379	MIIP	NM_021933	816	-11991		
34493	chr20	60980500	60982679	CABLES2	NM_031215	749	-17904		
9994	chr4	153603800	153605849	TMEM154	NM_152680	-3508	-57559		
26827	chr15	40730530	40733399	BAHD1	NM_001301132	45	-28476		
26827	chr15	40730530	40733399	BAHD1	NM_014952	-1385	-28476		
26827	chr15	40730530	40733399	BAHD1	NR_125372	-1385	-28476		
22777	chr11	130732700	130739179	LOC100507431	NR_125383	-3935	-21852		
22777	chr11	130732700	130739179	LOC103611081	NR_125382	4202	204		
2184	chr1	150227300	150233699	CA14	NM_012113	362	-6980		
28825	chr16	58528100	58531499	NDRG4	NM_001242834	-4247	-17723		
28825	chr16	58528100	58531499	NDRG4	NM_001242833	-4247	-17723		
28825	chr16	58528100	58531499	NDRG4	NM_001242836	-4247	-17723		
28825	chr16	58528100	58531499	NDRG4	NM_001242835	-4247	-17723		
28825	chr16	58528100	58531499	NDRG4	NR_040072	-4247	-17723		
28064	chr16	1469350	1472449	C16orf91	NM_001272051	-99	-1155		
35049	chr22	19507780	19514699	CLDN5	NM_003277	1620	-693		
35049	chr22	19507780	19514699	CLDN5	NM_001130861	1620	-693		
18922	chr9	139582850	139586629	AGPAT2	NM_001012727	-2829	-17145		
18922	chr9	139582850	139586629	AGPAT2	NM_006412	-2829	-17145		
34206	chr20	44043350	44050849	PIGT	NM_001184728	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NM_015937	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NM_001184730	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NM_001184729	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NR_047695	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NR_047694	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NR_047693	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NR_047692	2393	-7785		
34206	chr20	44043350	44050849	PIGT	NR_047691	2393	-7785		
7105	chr3	46730700	46739949	ALS2CL	NM_001190707	-179	-24840		
7105	chr3	46730700	46739949	ALS2CL	NM_147129	-131	-24840		
7105	chr3	46730700	46739949	ALS2CL	NR_033815	-131	-24840		
30308	chr17	42247200	42250329	ASB16	NM_080863	691	-7686		
35922	chr22	51014300	51022929	CPT1B	NM_001145137	-2109	-11325		
35922	chr22	51014300	51022929	CPT1B	NM_152246	-1721	-11325		
35922	chr22	51014300	51022929	CPT1B	NM_004377	-1721	-11325		
35922	chr22	51014300	51022929	CPT1B	NM_001145135	-1519	-11325		
35922	chr22	51014300	51022929	CPT1B	NM_152245	-1519	-11325		
35922	chr22	51014300	51022929	CPT1B	NM_001145134	-1519	-11325		
35922	chr22	51014300	51022929	CHKB-CPT1B	NR_027928	2813	-11325		
35922	chr22	51014300	51022929	CHKB	NM_005198	2813	-1228		
35922	chr22	51014300	51022929	CHKB-AS1	NR_021492	-2840	-3745		
35922	chr22	51014300	51022929	CHKB-AS1	NR_110536	-2840	-15095		
18959	chr9	140116700	140119679	RNF208	NM_031297	-2415	-3491		
18959	chr9	140116700	140119679	CYSRT1	NM_199001	-897	-2573		
18959	chr9	140116700	140119679	RNF224	NM_001190228	-3828	-5900		
4910	chr2	86420630	86422849	IMMT	NM_001100169	1153	-50685		
4910	chr2	86420630	86422849	IMMT	NM_001100170	1153	-50685		
4910	chr2	86420630	86422849	IMMT	NM_006839	1153	-50685		
4910	chr2	86420630	86422849	MIR4779	NR_039939	-1509	-1591		
4910	chr2	86420630	86422849	MRPL35	NM_016622	-4816	-18737		
4910	chr2	86420630	86422849	MRPL35	NM_145644	-4816	-18737		
17378	chr8	145115030	145119379	OPLAH	NM_017570	-1599	-11038		
17378	chr8	145115030	145119379	MIR6846	NR_106905	-4922	-4981		
28388	chr16	19726930	19731429	KNOP1	NM_001012991	312	-11506		
28388	chr16	19726930	19731429	IQCK	NM_001305122	1402	-140609		
28388	chr16	19726930	19731429	IQCK	NM_153208	1402	-140609		
28388	chr16	19726930	19731429	IQCK	NM_001305121	1402	-140609		
28388	chr16	19726930	19731429	IQCK	NR_130967	1402	-140609		
28388	chr16	19726930	19731429	IQCK	NR_130968	1402	-140609		
21748	chr11	64510600	64517099	RASGRP2	NM_001098671	-2220	-19467		
21748	chr11	64510600	64517099	RASGRP2	NM_001098670	-1521	-19467		
21748	chr11	64510600	64517099	RASGRP2	NM_153819	-922	-19467		
20823	chr10	135185580	135188849	ECHS1	NM_004092	-307	-11228		
20823	chr10	135185580	135188849	MIR3944	NR_037509	-2048	-2155		
26626	chr14	105187480	105192299	ADSSL1	NM_152328	-644	-23757		
24319	chr12	117534350	117536479	TESC	NM_001168325	1836	-58687		
24319	chr12	117534350	117536479	TESC	NM_017899	1836	-58687		
24319	chr12	117534350	117536479	TESC	NR_031766	1836	-58687		
24319	chr12	117534350	117536479	TESC-AS1	NR_120464	-1857	-43879		
7249	chr3	50327080	50332249	IFRD2	NM_006764	361	-4502		
35083	chr22	20307150	20310579	DGCR6L	NM_033257	-1237	-7104		
21476	chr11	46359280	46364779	DGKZ	NM_201533	-4787	-40074		
27389	chr15	71476280	71481579	THSD4-AS1	NR_120351	2468	-19779		
27389	chr15	71476280	71481579	THSD4-AS1	NR_120349	2468	-19779		
